url,title,authors,publisher,pubdate,price,rating,votes,want_to_read,reading,read
https://book.douban.com/subject/25985021/,人类简史,[以色列] 尤瓦尔·赫拉利,中信出版社,2014-11,68.00元,9.1,214851,302243,37376,266539
https://book.douban.com/subject/26171466/,筚路维艰,萧冬连,社会科学文献出版社,2014-10,45.00元,9.5,24799,74427,2748,28030
https://book.douban.com/subject/26210487/,强风吹拂,[日] 三浦紫苑,广西师范大学出版社,2015-1-1,39.00元,9.0,35274,76911,2284,46242
https://book.douban.com/subject/26413154/,李光耀观天下,李光耀,北京大学出版社,2015-6,58.00元,9.2,18921,32671,1693,21834
https://book.douban.com/subject/26425831/,斯通纳,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.00元,8.8,71716,137355,5349,103683
https://book.douban.com/subject/26435510/,雕刻时光,[苏] 安德烈·塔可夫斯基,南海出版公司,2016-5,45.00元,9.4,11464,50163,2465,14827
https://book.douban.com/subject/26545308/,南京大屠杀,[美]张纯如（Iris Chang）,中信出版社,2015-8,49.00元,9.7,29267,29452,1891,34366
https://book.douban.com/subject/26576861/,最好的告别,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015-7-31,54.90元,9.0,56919,176156,6717,70911
https://book.douban.com/subject/26585065/,亲密关系（第6版）,[美] 罗兰·米勒,人民邮电出版社,2015-6,138.00元,9.2,32210,138362,14553,32471
https://book.douban.com/subject/26586492/,火星救援,[美]安迪•威尔,译林出版社,2015-10,38.00,8.9,23154,35225,1147,35739
https://book.douban.com/subject/26672693/,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.00元,9.1,81423,151308,4528,158703
https://book.douban.com/subject/26698660/,巨人的陨落,[英] 肯·福莱特,江苏凤凰文艺出版社,2016-5-1,CNY 129.80,8.9,89128,160510,12880,113372
https://book.douban.com/subject/26704403/,二手时间,[白俄] S. A. 阿列克谢耶维奇,中信出版社,2016-1,55.00元,8.9,29118,122340,8009,37511
https://book.douban.com/subject/26734559/,棋王·树王·孩子王,阿城,江苏凤凰文艺出版社,2016-3-1,58.00,9.3,35891,37123,1396,47472
https://book.douban.com/subject/26757680/,面纱,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-4-1,39.8元,9.0,53724,38118,2233,66542
https://book.douban.com/subject/26820347/,红星照耀中国,[美] 埃德加·斯诺埃,人民文学出版社,2016-6,43.00元,9.2,27312,49970,6425,39531
https://book.douban.com/subject/26854318/,现代艺术150年,[英] 威尔·贡培兹,广西师范大学出版社,2017-3,65.00元,9.1,16741,66734,6162,19970
https://book.douban.com/subject/26861418/,奥斯维辛,[英] 劳伦斯·里斯,广西师范大学出版社,2016-9,79.00元,9.5,12241,45331,1581,14322
https://book.douban.com/subject/26877752/,恶意,[日] 东野圭吾,南海出版公司,2016-11,39.50元,8.7,164915,52215,2440,237224
https://book.douban.com/subject/26878124/,我的天才女友,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,8.8,139421,149005,11638,183595
https://book.douban.com/subject/26896859/,当呼吸化为空气,[美] 保罗·卡拉尼什 Paul Kalanithi,浙江文艺出版社,2016-11,48.00元,8.9,34805,60351,2275,46418
https://book.douban.com/subject/3017857/,金锁记,张爱玲,哈尔滨出版社,2005-6,13.5元,8.7,68487,52508,1232,122944
https://book.douban.com/subject/3026879/,爱的艺术,[美] 艾·弗洛姆,上海译文出版社,2008-4,15.00元,8.8,56600,168726,8874,88589
https://book.douban.com/subject/30277179/,打开一颗心,[英] 斯蒂芬·韦斯塔比,广西师范大学出版社,2022-4,56,9.1,14721,39377,1418,16261
https://book.douban.com/subject/30414743/,显微镜下的大明,马伯庸,湖南文艺出版社,2019-1,52.00元,8.7,57557,61110,6242,65839
https://book.douban.com/subject/30471298/,2001：太空漫游,[英] 阿瑟·克拉克,上海文艺出版社,2019-4-10,62.00元,9.3,26711,56272,1898,57327
https://book.douban.com/subject/30484795/,黑箱：日本之耻,[日] 伊藤诗织,雅众文化/中信出版集团,2019-4,48.00元,8.9,26809,44260,1193,32178
https://book.douban.com/subject/3054821/,渴望生活,[美] 欧文·斯通,北京十月文艺出版社,2008-4,29.80元,9.1,12483,36522,1894,21986
https://book.douban.com/subject/3071717/,爱你就像爱生命,王小波 李银河,上海锦绣文章出版社,2008-5,18.00元,8.8,120602,130656,10981,174268
https://book.douban.com/subject/3131626/,荒原狼,[德]赫尔曼·黑塞,上海译文出版社,2008-7,13.00,9.0,27177,71827,3437,40875
https://book.douban.com/subject/3136271/,罗生门,[日] 芥川龙之介,上海译文出版社,2008-7,12.00元,8.7,76539,88914,5971,164363
https://book.douban.com/subject/3162991/,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),广西美术出版社,2008-04,280.00,9.5,29352,164957,12810,45171
https://book.douban.com/subject/3183775/,四世同堂,老舍,北京十月文艺出版社,2008-7,36.00元,9.4,48129,94075,4772,131785
https://book.douban.com/subject/3211779/,嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2008-9,28.00,8.9,552750,129919,7709,732311
https://book.douban.com/subject/33658616/,克莱因壶,[日] 冈岛二人,化学工业出版社,2019-9,48.00元,8.8,87850,121542,2100,114997
https://book.douban.com/subject/3410718/,美的历程,李泽厚,生活·读书·新知三联书店,2009-7,43.00元,9.2,36338,110957,6519,50331
https://book.douban.com/subject/34432750/,额尔古纳河右岸,迟子建,人民文学出版社,2019-6-1,32.00元,8.9,77173,80689,5801,91024
https://book.douban.com/subject/34835082/,一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫,天津人民出版社,2019-10,39.8元,9.2,59366,90661,5306,68558
https://book.douban.com/subject/34896921/,父权制与资本主义,[日] 上野千鹤子,浙江大学出版社,2020-3,58.00元,9.2,22048,121654,7805,25177
https://book.douban.com/subject/34990839/,地下室手记,[俄] 陀思妥耶夫斯基,浙江文艺出版社,2020-5,39.80元,9.2,38453,66653,5219,46611
https://book.douban.com/subject/34998019/,秋园,杨本芬,北京联合出版公司,2020-6,38.00元,9.0,147718,108577,3932,166864
